t,u,e
96.8001,1.45597298309,-0.0706915865887
96.9001,1.45522511012,-0.0708885680752
97.0001,1.45447898062,-0.0710841879619
97.1001,1.45373445767,-0.0712785174264
97.2001,1.45299140456,-0.0714716272385
97.3001,1.45224968489,-0.0716635877125
97.4001,1.45150916199,-0.0718544704303
97.5001,1.45076970024,-0.0720443449048
97.6001,1.4500311649,-0.0722332791525
97.7001,1.44929342157,-0.0724213414425
97.8001,1.44855633652,-0.0726085993734
97.9001,1.44781977683,-0.072795119827
98.0001,1.44708361048,-0.0729809689214
98.1001,1.44634770639,-0.0731662119635
98.2001,1.44561193453,-0.0733509134028
98.3001,1.44487618687,-0.073535138973
98.4001,1.44414037225,-0.0737189550949
98.5001,1.44340433865,-0.0739024206799
98.6001,1.44266796742,-0.0740855969464
98.7001,1.44193114204,-0.0742685440914
98.8001,1.44119374825,-0.074451321247
98.9001,1.44045567412,-0.0746339864367
99.0001,1.43971681021,-0.0748165965313
99.1001,1.43897704967,-0.0749992072056
99.2001,1.43823628436,-0.0751818733777
99.3001,1.43749435289,-0.0753646554833
99.4001,1.43675119113,-0.0755476011862
99.5001,1.4360066974,-0.0757307617033
99.6001,1.43526077245,-0.0759141869215
99.7001,1.43451331958,-0.076097925358
99.8001,1.43376424471,-0.0762820241209
99.9001,1.43301345644,-0.0764665288693
100.0001,1.43226086613,-0.0766514837735
100.1001,1.431506388,-0.0768369314754
100.2001,1.43074985256,-0.0770229290478
100.3001,1.42999120039,-0.0772095121847
100.4001,1.42923036159,-0.0773967174391
100.5001,1.42846725065,-0.0775845831488
100.6001,1.427701784,-0.0777731461628
100.7001,1.42693388004,-0.0779624418133
100.8001,1.42616345918,-0.0781525038868
100.9001,1.42539044385,-0.0783433645957
101.0001,1.42461475851,-0.0785350545492
101.1001,1.42383640894,-0.0787276033897
101.2001,1.4230553703,-0.0789210388254
101.3001,1.42227153116,-0.0791153861316
101.4001,1.42148484168,-0.0793106693649
101.5001,1.42069525608,-0.0795069108519
101.6001,1.41990273276,-0.0797041311615
101.7001,1.41910723439,-0.0799023490765
101.8001,1.41830872803,-0.0801015815663
101.9001,1.41750718527,-0.0803018437586
102.0001,1.41670255109,-0.080503155662
102.1001,1.41589470589,-0.0807055503727
102.2001,1.41508369732,-0.0809090239442
102.3001,1.41426950125,-0.0811135870674
102.4001,1.41345209693,-0.0813192488132
102.5001,1.41263146707,-0.0815260166228
102.6001,1.41180759778,-0.0817338962966
102.7001,1.4109804787,-0.081942891984
102.8001,1.41015010296,-0.0821530061729
102.9001,1.40931636296,-0.0823642615117
103.0001,1.40847929837,-0.0825766488803
103.1001,1.40763890924,-0.0827901665175
103.2001,1.40679518861,-0.0830048131853
103.3001,1.40594813159,-0.0832205862727
103.4001,1.40509773523,-0.0834374818015
103.5001,1.40424399857,-0.0836554944326
103.6001,1.40338692253,-0.0838746174721
103.7001,1.40252655505,-0.0840948371586
103.8001,1.40166292437,-0.0843161411096
103.9001,1.40079601826,-0.0845385209511
104.0001,1.39992585595,-0.0847619632074
104.1001,1.39905245969,-0.0849864529092
104.2001,1.39817585474,-0.085211973591
104.3001,1.39729606935,-0.0854385072885
104.4001,1.39641313486,-0.0856660345361
104.5001,1.39552709589,-0.0858945362045
104.6001,1.39463803505,-0.0861239979415
104.7001,1.39374596882,-0.086354391423
104.8001,1.3928509482,-0.0865856924696
104.9001,1.39195302827,-0.0868178755506
105.0001,1.39105226822,-0.0870509137896
105.1001,1.3901487314,-0.087284778971
105.2001,1.38924248543,-0.0875194415454
105.3001,1.38833360224,-0.0877548706361
105.4001,1.38742196407,-0.0879910583944
105.5001,1.38650770758,-0.0882279642926
105.6001,1.38559091561,-0.0884655538123
105.7001,1.38467164693,-0.0887037947265
105.8001,1.38374996125,-0.0889426539752
105.9001,1.38282591911,-0.0891820976946
106.0001,1.38189958175,-0.0894220912473
106.1001,1.380971011,-0.0896625992519
106.2001,1.38004026387,-0.0899035842374
106.3001,1.37910739916,-0.0901450084247
106.4001,1.37817248231,-0.0903868350637
106.5001,1.37723557477,-0.0906290257081
106.6001,1.37629673776,-0.0908715412692
106.7001,1.37535603216,-0.0911143420433
106.8001,1.37441351838,-0.0913573877387
106.9001,1.37346925622,-0.0916006375032
107.0001,1.37252335186,-0.0918440493916
107.1001,1.37157614773,-0.0920875781354
107.2001,1.37062755225,-0.0923311831319
107.3001,1.36967766464,-0.0925748210465
107.4001,1.36872658822,-0.0928184480565
107.5001,1.36777443061,-0.0930620198751
107.6001,1.36682130383,-0.0933054917751
107.7001,1.36586732449,-0.0935488186129
107.8001,1.36491261391,-0.0937919548521
107.9001,1.36395712426,-0.0940348565361
108.0001,1.36300102332,-0.0942774770061
108.1001,1.36204445224,-0.0945197696391
108.2001,1.36108752332,-0.0947616878976
108.3001,1.36013035086,-0.0950031850103
108.4001,1.35917305108,-0.0952442139981
108.5001,1.35821574217,-0.0954847277001
108.6001,1.35725854416,-0.0957246787993
108.7001,1.35630124296,-0.095964042628
108.8001,1.35534368161,-0.096202789271
108.9001,1.35438623338,-0.0964408528395
109.0001,1.35342896254,-0.0966781885132
109.1001,1.35247193103,-0.0969147514269
109.2001,1.35151519842,-0.0971504966702
109.3001,1.35055882188,-0.0973853792881
109.4001,1.34960285624,-0.0976193542802
109.5001,1.34864797847,-0.0978523728867
