t,i
25.6001,-0.0228446511525
25.7001,-0.018901564448
25.8001,-0.0148495876514
25.9001,-0.0107309637585
26.0001,-0.0065877537481
26.1001,-0.00246146131461
26.2001,0.00160735921615
26.3001,0.00557954805011
26.4001,0.00941766891908
26.5001,0.0130863850437
26.6001,0.01655296249
26.7001,0.0197867699409
26.8001,0.022760274948
26.9001,0.0254495767663
27.0001,0.0278334011501
27.1001,0.0298948428983
27.2001,0.0316201028997
27.3001,0.0329981342277
27.4001,0.0340230448765
27.5001,0.0346906172937
27.6001,0.0350015016488
27.7001,0.0349596861251
27.8001,0.0345727442306
27.9001,0.0338520565141
28.0001,0.032810450702
28.1001,0.0314652487464
28.2001,0.0298358040682
28.3001,0.0279432091728
28.4001,0.0258115524472
28.5001,0.0234667959096
28.6001,0.0209366131929
28.7001,0.0182498065381
28.8001,0.0154356644647
28.9001,0.0125248744165
29.0001,0.00954793337017
29.1001,0.00653561998306
29.2001,0.00351842319483
29.3001,0.000526357015508
29.4001,-0.00241151530738
29.5001,-0.0052671214637
29.6001,-0.00801388853187
29.7001,-0.0106267876541
29.8001,-0.013082560701
29.9001,-0.0153602753218
30.0001,-0.0174405001694
30.1001,-0.0193068111075
30.2001,-0.0209450079145
30.3001,-0.022343339237
30.4001,-0.023493181235
30.5001,-0.0243874278572
30.6001,-0.0250226394902
30.7001,-0.0253976957525
30.8001,-0.0255140057412
30.9001,-0.0253760190757
31.0001,-0.0249894203849
31.1001,-0.0243632717801
31.2001,-0.0235085364096
31.3001,-0.0224382280088
31.4001,-0.0211676125919
31.5001,-0.0197125633226
31.6001,-0.0180913655227
31.7001,-0.0163233792714
31.8001,-0.0144291134944
31.9001,-0.0124300876247
32.0001,-0.0103476438455
32.1001,-0.00820413869032
32.2001,-0.00602202387458
32.3001,-0.00382384253187
32.4001,-0.00163175561275
32.5001,0.000532971264099
32.6001,0.00264952169279
32.7001,0.00469786793877
32.8001,0.00665884528806
32.9001,0.00851485639497
33.0001,0.0102497160822
33.1001,0.0118488481662
33.2001,0.0132990678984
33.3001,0.014588699383
33.4001,0.0157083559222
33.5001,0.0166502671355
33.6001,0.017408901252
33.7001,0.0179803248778
33.8001,0.0183623266923
33.9001,0.0185551259109
34.0001,0.0185604147863
34.1001,0.0183821348255
34.2001,0.0180256306478
34.3001,0.0174977402231
34.4001,0.0168073124984
34.5001,0.0159642377046
34.6001,0.014980106606
34.7001,0.0138674076127
34.8001,0.0126395477988
34.9001,0.0113111162371
35.0001,0.0098971365953
35.1001,0.00841341734483
35.2001,0.00687600084366
35.3001,0.00530109424333
35.4001,0.00370508076323
35.5001,0.00210413962509
35.6001,0.000514210031321
35.7001,-0.00104918316989
35.8001,-0.00257108884294
35.9001,-0.00403731490279
